Country,DAA,YearMon,timeID,unitID,post_treat,treated
DK,34.95359543010753,2016-10,22,6,0,0
DK,39.02681944444444,2016-11,23,6,0,0
DK,29.952540322580646,2016-12,24,6,0,0
DK,32.28620967741936,2017-1,25,6,0,0
DK,31.221800595238097,2017-2,26,6,0,0
DK,29.49003360215054,2017-3,27,6,0,0
DK,28.11184722222222,2017-4,28,6,0,0
DK,29.423541666666665,2017-5,29,6,0,0
DK,28.59188888888889,2017-6,30,6,0,0
DK,31.760396505376345,2017-7,31,6,0,0
DK,33.535436827956985,2017-8,32,6,0,0
DK,36.050784722222225,2017-9,33,6,0,0
DK,29.645611559139784,2017-10,34,6,0,0
DK,33.85440277777778,2017-11,35,6,0,0
DK,28.434905913978493,2017-12,36,6,0,0
DK,31.162647849462367,2018-1,37,6,0,0
DK,38.976369047619045,2018-2,38,6,0,0
DK,40.45290994623656,2018-3,39,6,0,0
DK,35.96843055555556,2018-4,40,6,0,0
DK,36.507977150537634,2018-5,41,6,0,0
DK,46.80611805555556,2018-6,42,6,0,0
DK,52.76112231182796,2018-7,43,6,0,0
DK,56.286350806451615,2018-8,44,6,0,0
DK,50.82074305555555,2018-9,45,6,0,0
DK,49.172916666666666,2018-10,46,6,0,0
DK,54.36304861111111,2018-11,47,6,0,0
DK,47.88823924731183,2018-12,48,6,0,0
DK,51.006236559139786,2019-1,49,6,0,0
DK,43.357261904761906,2019-2,50,6,0,0
DK,34.59832661290323,2019-3,51,6,0,0
DK,39.49717361111111,2019-4,52,6,0,0
DK,37.77897849462366,2019-5,53,6,0,0
DK,33.23436805555556,2019-6,54,6,0,0
DK,38.940524193548384,2019-7,55,6,0,0
DK,38.65051075268817,2019-8,56,6,0,0
DK,36.36168055555556,2019-9,57,6,0,0
DK,39.89542338709678,2019-10,58,6,0,0
DK,42.22398611111111,2019-11,59,6,0,0
DK,34.687647849462365,2019-12,60,6,0,0
DK,26.14508064516129,2020-1,61,6,0,0
DK,18.207658045977013,2020-2,62,6,0,0
DK,19.117163978494624,2020-3,63,6,0,0
DK,15.947375000000001,2020-4,64,6,0,0
DK,17.557325268817205,2020-5,65,6,0,0
DK,28.02821527777778,2020-6,66,6,0,0
DK,25.328931451612902,2020-7,67,6,0,0
DK,37.75730510752688,2020-8,68,6,0,0
DK,38.96295833333333,2020-9,69,6,0,0
DK,26.30119623655914,2020-10,70,6,0,0
DK,29.758826388888888,2020-11,71,6,0,0
DK,36.921344086021506,2020-12,72,6,0,0
DK,50.51992607526881,2021-1,73,6,0,0
DK,50.90572916666667,2021-2,74,6,0,0
DK,45.90210349462365,2021-3,75,6,0,0
DK,47.96927083333333,2021-4,76,6,0,0
DK,54.740752688172044,2021-5,77,6,0,0
DK,73.704125,2021-6,78,6,0,0
DK,80.64201612903226,2021-7,79,6,0,0
DK,83.6948252688172,2021-8,80,6,0,0
DK,124.52852777777778,2021-9,81,6,0,0
DK,111.82149865591398,2021-10,82,6,0,0
DK,139.23508333333334,2021-11,83,6,0,0
DK,190.10288978494623,2021-12,84,6,0,0
DK,114.93260080645162,2022-1,85,6,0,0
DK,106.60702380952381,2022-2,86,6,0,0
DK,231.7847110215054,2022-3,87,6,0,0
